"","Var1","Freq"
"1","1",33
"2","2",27
"3","3",21
"4","4",22
"5","5",33
"6","6",35
"7","7",38
"8","8",32
"9","9",35
"10","10",35
"11","11",40
"12","12",33
"13","13",46
"14","14",56
"15","15",67
"16","16",72
"17","17",101
"18","18",116
"19","19",139
"20","20",165
"21","21",202
"22","22",227
"23","23",226
"24","24",252
"25","25",273
"26","26",270
"27","27",250
"28","28",296
"29","29",267
"30","30",288
"31","31",334
"32","32",304
"33","33",291
"34","34",300
"35","35",272
"36","36",266
"37","37",308
"38","38",323
"39","39",304
"40","40",266
"41","41",275
"42","42",246
"43","43",234
"44","44",257
"45","45",236
"46","46",207
"47","47",199
"48","48",193
"49","49",156
"50","50",160
"51","51",182
"52","52",175
"53","53",172
"54","54",178
"55","55",146
"56","56",134
"57","57",146
"58","58",115
"59","59",129
"60","60",117
"61","61",86
"62","62",87
"63","63",77
"64","64",82
"65","65",64
"66","66",72
"67","67",70
"68","68",70
"69","69",58
"70","70",58
"71","71",46
"72","72",53
"73","73",31
"74","74",28
"75","75",31
"76","76",30
"77","77",23
"78","78",33
"79","79",18
"80","80",26
"81","81",19
"82","82",13
"83","83",16
"84","84",25
"85","85",10
"86","86",11
"87","87",10
"88","88",11
"89","89",9
"90","90",5
"91","91",5
"92","92",1
"93","93",2
"94","95",2
"95","97",1
"96","98",1
"97","103",1
